Station_number,Observation_time,Showalter_index,Lifted_index,SWEAT_index,Precipitable_water_mm_for_entire_sounding
42647,160608/1200,-4.76,-6.05,326.79,38.21
42647,160609/0000,-1.64,12.36,204.59,30.48
42647,160609/1200,-7.02,-7.57,411.99,43.74
42647,160610/0000,-5.99,-9.91,352.99,47.26
42647,160610/1200,-5.34,-6.61,328.2,51.58
42647,160611/0000,1.13,-6.7,212,42.57
42647,160611/1200,-5.87,-7.19,358.8,51.36
42647,160612/0000,-5.48,-7.54,330.82,45.04
42647,160612/1200,-6.6,-6.73,415.22,46.4
42647,160613/0000,-5.8,-10.04,380.82,41.52
42647,160613/1200,-5.82,-8.08,385.01,48.31
42647,160614/0000,-3.97,-6.45,290.79,44.94
42647,160614/1200,-5.06,-5.28,328.59,51.31
42647,160615/0000,-6.04,-7.54,356.78,50.39
42647,160615/1200,-2.86,-2.78,252.82,37.45
42647,160616/0000,-4.77,-7.25,310.82,49.82
42647,160616/1200,-5.82,-6.76,370,49.38
42647,160617/0000,-1.95,-7.45,196.41,50.62
42647,160617/1200,-6.47,-6.64,382.41,48.03
42647,160618/0000,3.4,-7.02,60.81,44.07
42647,160618/1200,-0.62,-1.2,229.81,45.19
